starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 09 21:35:03 2008	1218332103086952	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103086918	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103086984	0	18	18	17
Sat Aug 09 21:35:03 2008	1218332103095474	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103095530	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103095565	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103095600	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103095671	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103095704	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103095739	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103095771	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103095636	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103095804	0	19	19	19
Sat Aug 09 21:35:03 2008	1218332103104948	0	18	18	18
